          |ID        |$         |INTNUM    |REALNUM   |STRING    |(         |)         |[         |]         |{         |}         |;         |,         |=         |bool      |char      |int       |float     |double    |struct    |if        |else      |do        |while     |call      |function  |return    |true      |false     |+         |-         |*         |/         |%         |>         |>=        |<         |<=        |==        |!=        |&&        |||        |!         |&         ||         |^         |~         |.         |S         |Program   |ExtDefList|ExtDef    |Def       |O         |DefList   |Type      |FunDec    |P         |StmtList  |BaseType  |dims      |VarList   |ParamDec  |CompSt    |M         |Stmt      |Exp       |L         |B         |N         |ParamList |relop     |
1         |          |r4        |          |          |          |          |          |          |          |          |          |          |          |          |r4        |r4        |r4        |r4        |r4        |r4        |          |          |          |          |          |r4        |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |3         |4         |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |
33        |          |          |          |          |          |          |          |          |          |          |r17       |          |          |          |r17       |r17       |r17       |r17       |r17       |r17       |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |38        |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |
34        |          |          |          |          |          |          |s39       |          |          |          |          |          |          |          |s6        |s7        |s8        |s9        |s10       |s19       |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |40        |          |          |          |16        |          |41        |42        |          |          |          |          |          |          |          |          |          |
35        |r69       |          |r69       |r69       |          |r69       |          |          |          |r69       |r69       |          |          |          |r69       |r69       |r69       |r69       |r69       |r69       |r69       |          |r69       |r69       |r69       |          |r69       |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |
36        |r70       |          |r70       |r70       |          |r70       |          |          |          |r70       |r70       |          |          |          |r70       |r70       |r70       |r70       |r70       |r70       |r70       |          |r70       |r70       |r70       |          |r70       |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |52        |          |          |          |          |          |          |          |          |          |          |          |          |          |          |
37        |          |          |          |          |          |          |          |          |          |          |r17       |          |          |          |r17       |r17       |r17       |r17       |r17       |r17       |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |
38        |          |          |          |          |          |          |          |          |          |          |s48       |          |          |          |s6        |s7        |s8        |s9        |s10       |s19       |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |49        |          |          |50        |          |          |          |16        |          |          |          |          |          |          |          |          |          |          |          |          |
39        |          |          |          |          |          |          |          |          |          |r22       |          |r22       |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |
40        |s47       |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |
41        |          |          |          |          |          |          |s44       |          |          |          |          |          |s45       |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |
42        |          |          |          |          |          |          |r24       |          |          |          |          |          |r24       |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |
43        |          |          |          |          |          |          |          |s22       |          |          |          |r19       |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |46        |          |          |          |          |          |          |          |          |          |          |          |
44        |          |          |          |          |          |          |          |          |          |r21       |          |r21       |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |
